# Russian	Uzbek (Latin)	English
Открываю инвентаризацию…	Inventarizatsiya ochilmoqda…	Opening stocktaking…
FBS ПРИОСТАНОВЛЕН · обязательная проверка 	FBS TO‘XTATILDI · majburiy tekshiruv 	FBS PAUSED · mandatory check\s
Инвентаризация не открыта.	Inventarizatsiya ochilmagan.	Stocktaking is not open.
Расхождений	Tafovutlar	Discrepancies
Дождитесь ответа WMS. Повторное сканирование временно заблокировано.	WMS javobini kuting. Takroriy skan vaqtincha bloklangan.	Wait for WMS to respond. Rescanning is temporarily disabled.
Номер короба	Quti raqami	Box number
Короб	Quti	Box
Переклеить использованный КИЗ	Ishlatilgan KIZni almashtirish	Replace used KIZ label
Сканируйте только содержимое короба. Уже отобранные товары не возвращайте в пересчёт; возврат принимается отдельно в отсканированный короб.	Faqat quti ichidagini skanerlang. Olingan tovarni sanashga qaytarmang; qaytarish alohida qabul qilinadi.	Scan only the box contents. Do not include already picked goods in the recount; receive returns separately into a scanned box.
Режим: ШК + КИЗ	Rejim: SHK + KIZ	Mode: barcode + KIZ
Режим: только ШК	Rejim: faqat SHK	Mode: barcode only
. Отсканируйте КИЗ этой единицы.	. Shu birlikning KIZini skanerlang.	. Scan this unit’s KIZ.
Сменить ШК	SHKni almashtirish	Change barcode
Штрихкод товара	Tovar shtrix-kodi	Product barcode
Количество (по умолчанию 1)	Miqdor (odatda 1)	Quantity (default: 1)
Завершить подсчёт короба	Quti sanog‘ini yakunlash	Finish counting box
Продолжить отбор SKU из этого короба	Shu qutidan SKUni terishni davom ettirish	Continue picking SKU from this box
Примените актуализацию по существующим правам, затем продолжите сортировку здесь.	Mavjud huquqlaringiz bilan qoldiqni yangilang, keyin shu yerda saralashni davom ettiring.	Apply the stock update using your existing permissions, then continue sorting here.
Пересчитать короб заново	Qutini qayta sanash	Recount box again
Проверка завершена — продолжить FBS	Tekshiruv tugadi — FBSni davom ettirish	Check complete — continue FBS
Есть расхождения. Сборка останется заблокированной до актуализации короба администратором.	Tafovut bor. Administrator qutini yangilamaguncha FBS bloklangan.	Discrepancies found. Picking will stay blocked until an administrator updates the box stock.
Проверить статус актуализации	Yangilash holatini tekshirish	Check stock update status
Проверить следующий короб	Keyingi qutini tekshirish	Check next box
Обновить состояние проверки	Tekshiruv holatini yangilash	Refresh check status
Начать свежую проверку этого короба	Shu qutini yangidan tekshirish	Start a new check of this box
Вернуться в эту сортировку	Shu saralashga qaytish	Return to this sorting task
Завершить проверку	Tekshiruvni yakunlash	Complete check
Передать на актуализацию	Tuzatish uchun yuborish	Submit for stock update
Назад к режимам	Rejimlarga qaytish	Back to modes
Содержимое короба	Quti tarkibi	Box contents
По данным WMS короб пуст. Отсканированный товар будет показан как излишек.	WMS bo‘yicha quti bo‘sh. Skanerlangan tovar ortiqcha sifatida ko‘rsatiladi.	WMS shows this box as empty. Scanned goods will be shown as surplus.
Артикул	Artikul	Article
Факт	Amalda	Actual
Разница	Farq	Difference
Проверяется содержимое этого короба. Уже отобранный товар не включайте в пересчёт. Количество и состав КИЗ проверяются отдельно.	Faqat shu quti tarkibi tekshiriladi. Avval olingan tovarni qayta sanamang. Miqdor va KIZlar alohida tekshiriladi.	Check this box’s contents. Do not include already picked goods in the recount. Quantity and KIZ composition are checked separately.
Всё в порядке. Содержимое полностью совпадает с WMS.	Hammasi to‘g‘ri. Tarkib WMS bilan to‘liq mos.	Everything matches. The contents fully match WMS.
Содержимое отличается. Расхождений	Tarkib farq qiladi. Tafovutlar	Contents differ. Discrepancies
Точные значения показаны выше.	Aniq qiymatlar yuqorida ko‘rsatilgan.	Exact values are shown above.
Проверка подтверждена администратором.	Tekshiruv administrator tomonidan tasdiqlandi.	Check approved by an administrator.
Подтвердить проверку короба	Quti tekshiruvini tasdiqlash	Confirm box check
Актуализировать по факту и продолжить сортировку	Haqiqiy qoldiqni yangilash va saralashni davom ettirish	Update actual stock and continue sorting
Актуализировать и переместить в другой короб	Yangilash va boshqa qutiga ko‘chirish	Update stock and transfer to another box
Только актуализировать товары по факту	Faqat tovarlarni amaldagi miqdor bo‘yicha yangilash	Update actual product stock only
Подтвердить без изменения WMS	WMSni o‘zgartirmasdan tasdiqlash	Confirm without changing WMS
Актуализировать остатки?	Qoldiqlarni yangilaysizmi?	Update stock?
Подтвердить без изменений?	O‘zgarishsiz tasdiqlaysizmi?	Confirm without changes?
Остатки в WMS будут заменены фактически подсчитанными значениями. Действие запишется в журнал.	WMS qoldiqlari amalda sanalgan qiymatlar bilan almashtiriladi. Harakat jurnalga yoziladi.	WMS stock will be replaced with the actual counted quantities. The action will be recorded in the log.
Фактические расхождения останутся, а значения WMS не изменятся. Действие запишется в журнал.	Amaldagi tafovutlar qoladi, WMS qiymatlari o‘zgarmaydi. Harakat jurnalga yoziladi.	Actual discrepancies will remain and WMS values will not change. The action will be recorded in the log.
 После актуализации здесь же откроется сканирование целевого короба.	 Yangilangandan so‘ng shu ekranda maqsad qutini skanerlash ochiladi.	 After the update, destination box scanning will open here.
Отмена	Bekor qilish	Cancel
Подтвердить	Tasdiqlash	Confirm
Актуализирую остатки…	Qoldiqlar yangilanmoqda…	Updating stock…
Подтверждаю проверку…	Tekshiruv tasdiqlanmoqda…	Confirming check…
Решение принято администратором на ТСД	Qaror TSDda administrator tomonidan qabul qilindi	Decision made by an administrator on TSD
Остатки актуализированы. Пропикайте короб, куда переместить товар.	Qoldiqlar yangilandi. Tovar ko‘chiriladigan qutini skanerlang.	Stock updated. Scan the box to transfer the goods into.
Остатки актуализированы.	Qoldiqlar yangilandi.	Stock updated.
Проверка подтверждена.	Tekshiruv tasdiqlandi.	Check confirmed.
Пропикайте номер короба.	Quti raqamini skanerlang.	Scan the box number.
Открываю короб…	Quti ochilmoqda…	Opening box…
Короб 	Quti 	Box\s
 в системе не найден.	 tizimda topilmadi.	 not found in the system.
Пропикайте штрихкод товара.	Tovar shtrix-kodini skanerlang.	Scan the product barcode.
Учитываю товар…	Tovar hisobga olinmoqda…	Counting product…
ШК принят. Теперь отсканируйте КИЗ.	SHK qabul qilindi. Endi KIZni skanerlang.	Barcode accepted. Now scan the KIZ.
Этот КИЗ уже учтён. Повтор не добавлен.	Bu KIZ hisobga olingan. Takror qo‘shilmadi.	This KIZ is already counted. Duplicate not added.
Товар учтён: 	Tovar hisobga olindi: 	Product counted:\s
Сначала завершите подсчёт и актуализируйте расхождения.	Avval sanashni tugating va tafovutlarni yangilang.	Finish counting and reconcile discrepancies first.
Закрываю проверку и возвращаюсь в FBS…	Tekshiruv yopilmoqda va FBSga qaytilmoqda…	Closing check and returning to FBS…
Короб проверен и актуализирован. Сборка FBS разблокирована.	Quti tekshirildi va yangilandi. FBS blokdan chiqarildi.	Box checked and stock updated. FBS picking is unblocked.
Старый КИЗ	Eski KIZ	Old KIZ
Новый КИЗ	Yangi KIZ	New KIZ
Переклейка КИЗ	KIZni almashtirish	Replace KIZ label
